epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,312.488,1.0317,0.43682,0.00355,0.96405,0.86832,0.94453,0.66166,1.13496,0.53581,0.00461,0.000367967,0.000367967,0.000367967
77,316.535,1.00497,0.46585,0.00342,0.96621,0.84134,0.94834,0.65223,1.15858,0.54771,0.00471,0.00035382,0.00035382,0.00035382
78,320.773,1.03665,0.45731,0.00342,0.93204,0.88606,0.94849,0.66099,1.18671,0.51207,0.00478,0.000339673,0.000339673,0.000339673
79,325.155,1.03934,0.462,0.00351,0.95166,0.87658,0.94854,0.6638,1.17344,0.51832,0.00479,0.000325526,0.000325526,0.000325526
80,329.208,1.01468,0.44191,0.00364,0.96384,0.85765,0.94675,0.65813,1.1712,0.51767,0.00474,0.000311379,0.000311379,0.000311379
81,333.257,1.02171,0.4626,0.00346,0.96634,0.86924,0.95656,0.64844,1.18682,0.4949,0.00484,0.000297232,0.000297232,0.000297232
82,337.338,0.99251,0.43655,0.00341,0.94768,0.89212,0.9533,0.64311,1.18671,0.51609,0.00482,0.000283085,0.000283085,0.000283085
83,341.417,0.9933,0.44006,0.00345,0.95796,0.842,0.94332,0.64718,1.18152,0.50986,0.0048,0.000268938,0.000268938,0.000268938
84,345.481,1.00423,0.4443,0.00338,0.98081,0.84849,0.94197,0.64877,1.17615,0.50854,0.00481,0.000254791,0.000254791,0.000254791
85,349.523,0.98651,0.43401,0.00345,0.96865,0.8725,0.94736,0.66002,1.1607,0.51352,0.00472,0.000240644,0.000240644,0.000240644
86,353.546,1.0089,0.4463,0.00344,0.98122,0.8538,0.94313,0.65038,1.15953,0.52035,0.00472,0.000226497,0.000226497,0.000226497
87,357.657,1.00639,0.44745,0.00335,0.97768,0.85694,0.93884,0.6486,1.17049,0.5212,0.00476,0.000212349,0.000212349,0.000212349
88,361.828,0.98687,0.41976,0.00331,0.9825,0.85342,0.93922,0.64598,1.15947,0.51516,0.0047,0.000198202,0.000198202,0.000198202
89,365.869,0.96811,0.40719,0.00345,0.98139,0.85442,0.94441,0.65002,1.17271,0.52301,0.00473,0.000184055,0.000184055,0.000184055
90,369.929,0.99367,0.43687,0.00337,0.9683,0.85231,0.94541,0.66169,1.17004,0.52908,0.00473,0.000169908,0.000169908,0.000169908
91,375.259,0.932,0.36866,0.004,0.93714,0.85614,0.94506,0.65106,1.18708,0.5182,0.00479,0.000155761,0.000155761,0.000155761
92,379.157,0.91913,0.34402,0.00391,0.97948,0.84336,0.94654,0.64911,1.19829,0.52547,0.0048,0.000141614,0.000141614,0.000141614
93,383.005,0.91108,0.34726,0.0038,0.9752,0.84817,0.94589,0.65437,1.1866,0.54539,0.00478,0.000127467,0.000127467,0.000127467
94,387.035,0.9372,0.3588,0.00394,0.97026,0.84095,0.94668,0.65547,1.18595,0.53716,0.00477,0.00011332,0.00011332,0.00011332
95,391.298,0.91154,0.37514,0.00376,0.97187,0.84269,0.94831,0.6498,1.18803,0.53589,0.00483,9.91726e-05,9.91726e-05,9.91726e-05
96,395.196,0.92434,0.36008,0.00379,0.96896,0.84418,0.94743,0.64873,1.18846,0.52609,0.0048,8.50255e-05,8.50255e-05,8.50255e-05
97,399.114,0.91023,0.35215,0.0037,0.97433,0.84252,0.94762,0.65508,1.18296,0.52813,0.00476,7.08784e-05,7.08784e-05,7.08784e-05
98,402.955,0.8998,0.35432,0.0038,0.9706,0.84318,0.94671,0.65918,1.18085,0.52455,0.00477,5.67313e-05,5.67313e-05,5.67313e-05
99,406.89,0.90133,0.34423,0.0038,0.96163,0.84867,0.94674,0.65894,1.18578,0.52179,0.0048,4.25842e-05,4.25842e-05,4.25842e-05
100,410.788,0.91404,0.36967,0.0037,0.96285,0.84622,0.94732,0.65625,1.18732,0.52364,0.00479,2.84371e-05,2.84371e-05,2.84371e-05
