epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,291.388,0.99803,0.51983,0.95874,0.97844,0.92392,0.9856,0.64606,1.13663,0.54075,0.99971,0.000424556,0.000424556,0.000424556
73,295.568,0.99646,0.50859,0.96143,0.96241,0.92937,0.97986,0.67138,1.14681,0.54776,1.00247,0.000410409,0.000410409,0.000410409
74,300.503,0.98649,0.50024,0.952,0.95537,0.92574,0.97865,0.64255,1.15478,0.54263,1.00399,0.000396262,0.000396262,0.000396262
75,304.621,0.99582,0.51655,0.95918,0.95515,0.9428,0.97979,0.63321,1.17562,0.53574,1.01384,0.000382115,0.000382115,0.000382115
76,308.434,1.00966,0.50233,0.96597,0.9846,0.95971,0.98691,0.66287,1.13069,0.53253,0.99875,0.000367967,0.000367967,0.000367967
77,312.613,0.98688,0.49833,0.96437,0.98192,0.96063,0.98843,0.63826,1.14266,0.53673,1.00456,0.00035382,0.00035382,0.00035382
78,316.496,0.98812,0.5003,0.94722,0.98387,0.95254,0.98864,0.65343,1.13632,0.53041,1.00321,0.000339673,0.000339673,0.000339673
79,320.378,0.96993,0.4878,0.95048,0.96637,0.94617,0.98518,0.65726,1.14063,0.52174,0.99907,0.000325526,0.000325526,0.000325526
80,324.342,1.00127,0.50621,0.95533,0.94017,0.94897,0.9801,0.63795,1.13581,0.51728,0.99782,0.000311379,0.000311379,0.000311379
81,328.292,1.0113,0.5149,0.96176,0.95975,0.94829,0.98096,0.66025,1.12257,0.52131,0.98923,0.000297232,0.000297232,0.000297232
82,332.193,0.9797,0.48921,0.95857,0.98991,0.95505,0.98392,0.65548,1.10949,0.51418,0.98654,0.000283085,0.000283085,0.000283085
83,336.073,0.98725,0.48818,0.95309,0.93053,0.97112,0.97326,0.64922,1.11844,0.51455,0.99046,0.000268938,0.000268938,0.000268938
84,339.95,0.9863,0.49047,0.95737,0.88362,0.94642,0.96679,0.63031,1.12893,0.51349,0.99131,0.000254791,0.000254791,0.000254791
85,343.835,0.97042,0.4862,0.95242,0.88594,0.93607,0.96511,0.63972,1.11915,0.52261,0.99418,0.000240644,0.000240644,0.000240644
86,347.718,0.97478,0.48535,0.95424,0.89679,0.95212,0.97546,0.64867,1.13018,0.52094,0.99279,0.000226497,0.000226497,0.000226497
87,351.604,0.98452,0.4955,0.94941,0.90628,0.93489,0.97492,0.65049,1.11609,0.52582,0.9889,0.000212349,0.000212349,0.000212349
88,355.477,0.96611,0.46726,0.95066,0.90328,0.94966,0.97559,0.64142,1.11117,0.52647,0.99085,0.000198202,0.000198202,0.000198202
89,359.345,0.9812,0.50051,0.94771,0.96101,0.95519,0.98607,0.64938,1.12018,0.5336,0.99444,0.000184055,0.000184055,0.000184055
90,363.611,0.98627,0.48378,0.95566,0.928,0.93478,0.97546,0.65036,1.12378,0.52706,0.99247,0.000169908,0.000169908,0.000169908
91,369.697,0.93994,0.45269,0.94151,0.92239,0.92457,0.9762,0.65016,1.12754,0.527,0.99246,0.000155761,0.000155761,0.000155761
92,373.577,0.93101,0.44631,0.92697,0.92411,0.90397,0.97439,0.64976,1.11219,0.52307,0.98851,0.000141614,0.000141614,0.000141614
93,377.323,0.91365,0.43073,0.93762,0.9269,0.92474,0.97629,0.65501,1.11686,0.52524,0.9924,0.000127467,0.000127467,0.000127467
94,381.072,0.92551,0.43221,0.92197,0.94053,0.94416,0.98438,0.65803,1.12582,0.51693,0.99333,0.00011332,0.00011332,0.00011332
95,384.804,0.94784,0.43718,0.9462,0.96774,0.93921,0.98364,0.658,1.12243,0.51651,0.99057,9.91726e-05,9.91726e-05,9.91726e-05
96,388.63,0.9143,0.42944,0.92966,0.94681,0.92207,0.97656,0.64773,1.12038,0.51356,0.98995,8.50255e-05,8.50255e-05,8.50255e-05
97,392.408,0.93911,0.43594,0.93721,0.98742,0.94875,0.98659,0.65267,1.11509,0.51067,0.98871,7.08784e-05,7.08784e-05,7.08784e-05
98,396.2,0.9217,0.42879,0.93347,0.96951,0.95086,0.98414,0.64753,1.1141,0.51286,0.98947,5.67313e-05,5.67313e-05,5.67313e-05
99,399.964,0.92737,0.43895,0.9286,0.98518,0.93976,0.98574,0.66021,1.1122,0.51672,0.98939,4.25842e-05,4.25842e-05,4.25842e-05
100,403.756,0.9165,0.42965,0.93345,0.98907,0.95376,0.98676,0.66119,1.11435,0.51468,0.98918,2.84371e-05,2.84371e-05,2.84371e-05
